Id,Title,Handle,Published_date,Created_date,Product_Type,Sku,Price,Available,Grams,Image
6835424231486,The Emmett Whiskey,emmett-whiskey-1,2022-11-30T11:10:53-06:00,2022-01-20T15:49:13-06:00,Shoes,EMM16RWHY,225.00,True,1089,https://cdn.shopify.com/s/files/1/0048/2912/products/hilos-shoes-the-emmett-whiskey-29064236105790.jpg?v=1642798295
6824266006590,The Emmett Black,emmett-black-1,2022-11-30T11:10:23-06:00,2022-01-13T10:29:04-06:00,Shoes,EMM16RBLK,225.00,True,1089,https://cdn.shopify.com/s/files/1/0048/2912/products/hilos-shoes-the-emmett-black-29064209268798.jpg?v=1642797587
8630016402,HELM Boot Care Kit,helm-boot-care-kit,2022-11-21T11:47:16-06:00,2016-12-21T13:17:11-06:00,Boot Care,HLMKIT_004,65.00,False,907,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boot-care-helm-boot-care-kit-28561827725374.jpg?v=1628014004
7113517400126,HELM Boots T-Shirts,helm-boots-t-shirts,2022-11-17T13:14:20-06:00,2022-11-11T12:29:55-06:00,T-Shirt,HLMBTS_NATX,30.00,True,340,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-t-shirt-helm-boots-t-shirts-29855349604414.jpg?v=1669652314
6831975432254,The Xander Whiskey,the-xander-whiskey,2022-10-30T10:36:25-05:00,2022-01-19T13:14:15-06:00,Sneakers,HB8205015,120.00,True,1361,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-xander-whiskey-29667826794558.png?v=1663270414
7110407716926,Laces,laces-1,2022-10-26T14:30:40-05:00,2022-10-26T12:29:14-05:00,Laces,ZTEK57,10.00,True,11,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-laces-29779242582078.jpg?v=1666808858
7031645044798,The Xander Olive,the-xander-olive,2022-10-22T09:24:41-05:00,2022-07-26T14:11:27-05:00,Sneakers,HB8208015,120.00,True,1361,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-xander-olive-29667814539326.png?v=1663269883
163735329,HELM Shop Rag,helmcloth,2022-10-13T10:19:13-05:00,2013-10-09T15:28:44-05:00,Accessories,10284,5.00,True,57,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-indigo-helm-shop-rag-28555588272190.jpg?v=1628016172
7031686856766,The Zind Burgundy,the-zind-burgundy,2022-10-10T13:32:05-05:00,2022-07-26T15:25:21-05:00,Boots,HBB405016,295.00,False,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-zind-burgundy-29629143711806.jpg?v=1662055880
1984664535102,Otter Wax Suede Cleaner,otter-wax-suede-cleaner,2022-10-05T13:11:18-05:00,2019-01-04T13:42:37-06:00,Boot Care,724131462789,10.00,True,142,https://cdn.shopify.com/s/files/1/0048/2912/products/otter-wax-boot-care-otter-wax-suede-cleaner-28556965445694.jpg?v=1627993491
7031634001982,The Wilson Burgundy,the-wilson-burgundy,2022-09-14T12:03:40-05:00,2022-07-26T13:50:10-05:00,Shoes,HB4204016,245.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-the-wilson-burgundy-29627003764798.jpg?v=1663170642
6992903274558,The Charlie Navy,the-charlie-navy,2022-08-01T15:41:19-05:00,2022-06-13T13:43:50-05:00,Sneakers,HBB809015,149.00,False,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-charlie-navy-29447945715774.png?v=1657223483
6992922673214,The Hynes Brown,the-hynes-brown,2022-08-01T15:35:25-05:00,2022-06-13T14:15:58-05:00,Boots,HB9020016,250.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-hynes-brown-29428521533502.png?v=1656433660
6992921493566,The Hynes Black,the-hynes-black,2022-08-01T15:28:20-05:00,2022-06-13T14:14:55-05:00,Boots,HB9010016,250.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-hynes-black-29454774370366.png?v=1657218651
6842240303166,The Hollis Olive,the-hollis-olive,2022-05-09T10:10:02-05:00,2022-01-25T12:50:41-06:00,Boots,HBB1028016,295.00,True,1814,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-the-hollis-olive-29270120923198.jpg?v=1650910895
